Tiempo,Carga,Extensión de tracción
s,N,mm
0,0.25441,0.00011
0.1,17.75244,0.01695
0.2,52.51681,0.05468
0.3,82.20963,0.092
0.4,108.18626,0.12843
0.5,131.54576,0.16463
0.6,152.92879,0.20051
0.7,172.46993,0.237
0.8,190.4827,0.27379
0.9,206.86999,0.31138
1,222.09404,0.34953
1.1,236.09903,0.38844
1.2,249.10383,0.42802
1.3,261.16468,0.46838
1.4,272.26206,0.50934
1.5,282.50596,0.55102
1.6,291.96611,0.59318
1.7,300.7222,0.63574
1.8,308.79175,0.67892
1.9,316.31533,0.72243
2,323.27369,0.76626
2.1,329.85024,0.811
2.2,335.89359,0.85591
2.3,341.5747,0.90144
2.4,346.83082,0.94739
2.5,351.73155,0.99368
2.6,356.28926,1.04078
2.7,360.50867,1.08813
2.8,364.41531,1.13569
2.9,367.9505,1.18399
3,371.34502,1.23253
3.1,374.31382,1.28165
3.2,377.18631,1.33106
3.3,379.81842,1.38134
3.4,382.18807,1.43197
3.5,384.38521,1.48312
3.6,386.30418,1.53467
3.7,388.04311,1.61807
3.8,389.6571,1.70117
3.858,390.56804,1.74977
3.958,391.86612,1.83307
4.058,393.05165,1.91627
4.158,394.15766,1.99967
4.258,395.08335,2.08307
4.358,395.93302,2.16627
4.458,396.62451,2.24967
4.558,397.13379,2.33307
4.658,397.5727,2.41627
4.758,397.97932,2.49957
4.858,398.23849,2.58287
4.958,398.46499,2.66627
5.058,398.51606,2.74967
5.158,398.51252,2.83307
5.258,398.6571,2.91647
5.358,398.02663,2.99967
5.458,397.22353,3.08307
5.558,397.22554,3.16647
5.658,397.40425,3.24967
5.758,397.07053,3.33297
5.858,396.85275,3.41647
5.958,396.42967,3.49967
6.058,395.93145,3.58297
6.158,395.05273,3.66637
6.258,394.93714,3.74967
6.358,394.48358,3.83297
6.458,393.96912,3.91627
6.558,393.3293,3.99967
6.658,392.61296,4.08307
6.758,391.96033,4.16637
6.858,391.28881,4.24977
6.958,390.52587,4.33297
7.058,389.78852,4.41627
7.158,389.05378,4.49967
7.258,388.27296,4.58287
7.358,387.47326,4.66627
7.458,386.65343,4.74967
7.558,385.76528,4.83297
7.658,384.90776,4.91627
7.758,384.073,4.99977
7.858,383.18146,5.08307
7.958,382.23162,5.16627
8.058,381.34526,5.24967
8.158,380.40277,5.33317
8.258,379.44052,5.41627
8.358,378.45761,5.49957
8.458,377.4998,5.58297
8.558,376.481,5.66627
8.658,375.44273,5.74967
8.758,374.45236,5.83297
8.858,373.34133,5.91637
8.958,372.30257,5.99967
9.058,371.22209,6.08307
9.158,370.12603,6.16637
9.258,368.96791,6.24957
9.358,367.794,6.33307
9.458,366.6576,6.41647
9.558,365.46942,6.49967
9.658,364.17853,6.58287
9.758,362.91827,6.66637
9.858,361.62011,6.74957
9.958,360.25222,6.83297
10.058,358.90386,6.91637
10.158,357.42946,6.99967
10.258,355.97436,7.08287
10.358,354.49855,7.16637
10.458,352.93799,7.24967
10.558,351.28519,7.33307
10.658,349.60836,7.41647
10.758,347.91019,7.49977
10.858,346.17729,7.58297
10.958,344.3281,7.66627
11.058,342.53377,7.74957
11.158,340.65582,7.83307
11.258,338.72973,7.91627
11.358,336.72076,7.99957
11.458,334.74203,8.08307
11.558,332.74606,8.16627
11.658,330.65591,8.24977
11.758,328.51841,8.33307
11.858,326.34716,8.41627
11.958,324.23325,8.49977
12.058,322.0262,8.58297
12.158,319.76625,8.66627
12.258,317.47535,8.74967
12.358,315.17647,8.83307
12.458,312.85904,8.91627
12.558,310.49792,8.99967
12.658,308.00829,9.08307
12.758,305.62734,9.16637
12.858,303.07796,9.24947
12.958,300.55435,9.33307
13.058,297.92318,9.41637
13.158,295.25835,9.49957
13.258,292.48912,9.58297
13.358,289.74488,9.66627
13.458,286.8204,9.74967
13.558,283.91318,9.83307
13.658,281.02623,9.91627
13.758,278.04952,9.99977
13.858,275.04224,10.08287
13.958,272.0147,10.16627
14.058,269.0093,10.24967
14.158,265.98915,10.33307
14.258,263.11509,10.41637
14.358,260.2754,10.49957
14.458,257.59468,10.58307
14.558,255.02231,10.66637
14.658,252.67897,10.74977
14.758,250.45887,10.83297
14.858,248.38032,10.91627
14.958,246.59712,10.99967
15.058,244.92757,11.08287
15.158,243.36401,11.16627
15.258,241.94628,11.24957
15.358,240.75622,11.33307
15.458,239.58532,11.41627
15.558,238.59425,11.49967
15.658,237.71357,11.58307
15.758,236.87847,11.66627
15.858,236.28533,11.74967
15.958,235.67678,11.83307
16.058,234.98679,11.91627
16.158,234.45204,11.99967
16.258,234.05774,12.08307
16.358,233.64233,12.16627
16.458,233.24432,12.24967
16.558,232.92053,12.33297
16.658,232.62819,12.41637
16.758,232.36742,12.49957
16.858,232.16002,12.58297
16.958,231.94646,12.66637
17.058,231.68512,12.74957
17.158,231.55233,12.83297
17.258,231.3967,12.91637
17.358,231.24574,12.99967
17.458,231.05554,13.08297
17.558,230.92667,13.16637
17.658,230.81269,13.24967
17.758,230.65146,13.33307
17.858,230.62382,13.41627
17.958,230.62887,13.49967
18.058,230.52791,13.58287
