time,ax,ay,az,atotal
0.0033807754516601562,-0.14,0.02,1.89,1.89
0.014616012573242188,-0.49,-0.45,-0.16,0.68
0.018192768096923828,-0.59,-0.68,-0.89,1.26
0.029273033142089844,-0.25,-0.44,-0.57,0.76
0.03917503356933594,0.08,0.02,-0.07,0.1
0.04906797409057617,0.11,0.16,0.38,0.42
0.059056758880615234,0.06,0.11,0.58,0.59
0.0690450668334961,-0.02,0.19,0.43,0.47
0.079071044921875,-0.04,0.32,0.25,0.4
0.08901786804199219,-0.05,0.38,0.05,0.38
0.0982809066772461,-0.08,0.32,0.0,0.32
0.11597490310668945,-0.2,0.18,0.09,0.28
0.11895179748535156,-0.23,0.12,-0.02,0.26
0.12879085540771484,-0.12,0.14,-0.2,0.27
0.13882088661193848,-0.01,0.13,-0.26,0.29
0.14879608154296875,0.05,0.09,-0.14,0.17
0.1588287353515625,0.06,0.11,0.0,0.12
0.1686549186706543,0.05,0.14,0.03,0.15
0.17992782592773438,-0.07,0.12,0.16,0.21
0.18973994255065918,-0.19,0.13,0.27,0.35
0.1982259750366211,-0.13,0.11,0.16,0.23
0.21628594398498535,-0.09,0.04,0.06,0.11
0.21937084197998047,-0.11,-0.05,0.05,0.13
0.2284688949584961,-0.1,-0.09,0.06,0.14
0.2384779453277588,-0.04,-0.09,0.05,0.11
0.24844074249267578,0.02,-0.06,0.08,0.1
0.25933384895324707,0.07,0.01,0.09,0.11
0.26836085319519043,0.06,0.07,0.08,0.12
0.2783169746398926,0.03,0.12,0.1,0.15
0.2892038822174072,-0.02,0.17,0.08,0.18
0.2979850769042969,-0.02,0.24,0.01,0.24
0.31897687911987305,-0.02,0.23,-0.09,0.24
0.32084083557128906,0.0,0.14,-0.29,0.32
0.32837486267089844,0.02,0.06,-0.33,0.33
0.33907294273376465,-0.03,0.03,-0.14,0.14
0.3474917411804199,0.03,0.05,0.12,0.13
0.35877180099487305,0.12,0.05,0.15,0.19
0.3674960136413574,0.12,-0.07,0.14,0.19
0.37901782989501953,-0.02,-0.14,0.15,0.2
0.3892650604248047,-0.11,-0.05,0.19,0.22
0.39752197265625,-0.14,0.02,0.24,0.27
0.4165818691253662,-0.09,0.0,0.19,0.21
0.4195098876953125,0.02,-0.06,0.08,0.1
0.42715978622436523,0.07,-0.05,-0.04,0.09
0.43786191940307617,0.08,0.01,-0.08,0.11
0.4478788375854492,0.04,0.13,-0.01,0.13
0.45793890953063965,0.05,0.21,0.02,0.21
0.4684739112854004,0.04,0.21,0.01,0.21
0.47784900665283203,-0.04,0.17,0.07,0.18
0.48874378204345703,-0.12,0.18,0.1,0.23
0.4972078800201416,-0.09,0.2,0.08,0.23
0.5157327651977539,-0.02,0.19,0.02,0.19
0.5186469554901123,0.01,0.16,-0.07,0.17
0.5268230438232422,-0.01,0.1,-0.14,0.17
0.5367999076843262,-0.02,0.08,-0.14,0.16
0.547548770904541,0.01,0.06,0.01,0.06
0.5577287673950195,0.02,0.01,0.2,0.2
0.5685977935791016,-0.01,-0.03,0.27,0.27
0.5770409107208252,-0.03,-0.05,0.28,0.28
0.5873017311096191,-0.07,-0.07,0.31,0.32
0.5970487594604492,-0.05,-0.02,0.3,0.3
